SSL_SCORE,PREDICTOR_RAT_AGE_AT_LATEST_ARREST,PREDICTOR_RAT_VICTIM_SHOOTING_INCIDENTS,SEX_CODE_CD,PREDICTOR_RAT_VICTIM_BATTERY_OR_ASSAULT,PREDICTOR_RAT_ARRESTS_VIOLENT_OFFENSES,PREDICTOR_RAT_GANG_AFFILIATION,PREDICTOR_RAT_NARCOTIC_ARRESTS,PREDICTOR_RAT_TREND_IN_CRIMINAL_ACTIVITY,PREDICTOR_RAT_UUW_ARRESTS,RACE_CODE_CD,SSL_SCORE_RANK
279,40-50,0,F,1,0,0,1,1.2,0,0,226297
279,40-50,0,M,0,1,1,0,0.2,1,0,226297
279,40-50,1,F,1,0,0,1,-0.2,0,0,226297
279,40-50,0,F,1,0,0,0,0.2,0,0,226297
279,40-50,0,M,0,1,1,2,0.7,1,0,226297
279,40-50,0,M,0,0,1,5,0.9,0,0,226297
279,40-50,0,F,1,0,0,0,0.3,0,0,226297
279,40-50,0,M,1,2,1,1,-0.9,1,0,226297
279,40-50,0,M,0,2,1,0,0.9,0,0,226297
279,40-50,0,F,1,0,0,0,0.3,0,0,226297
279,40-50,0,M,2,0,0,1,-0.4,0,0,226297
279,40-50,0,M,0,1,0,0,0.3,1,0,226297
279,40-50,1,M,0,0,1,3,1.1,0,0,226297
279,40-50,0,M,2,0,1,1,-0.9,0,0,226297
279,40-50,0,F,0,1,0,0,1.5,1,0,226297
279,40-50,0,M,2,0,0,0,0.3,0,0,226297
279,40-50,0,M,1,0,1,0,0.4,0,0,226297
279,40-50,1,F,1,0,0,0,0.2,0,0,226297
279,40-50,1,M,1,0,0,0,-0.3,0,0,226297
279,40-50,1,M,1,0,0,2,-0.6,0,0,226297
279,40-50,0,M,1,0,1,2,-0.2,0,0,226297
278,40-50,0,M,2,0,0,2,-0.5,0,0,228495
278,40-50,0,M,1,0,1,1,0.6,0,0,228495
278,40-50,0,M,1,0,1,0,0.1,0,0,228495
278,40-50,0,M,0,1,1,1,0.6,1,0,228495
278,40-50,1,F,1,0,0,0,-0.1,0,0,228495
278,40-50,0,M,1,0,0,0,0.3,0,0,228495
278,40-50,0,M,1,1,0,0,0.2,0,0,228495
278,40-50,0,F,1,0,0,0,0.1,0,1,228495
278,40-50,0,M,1,0,1,2,-0.4,0,1,228495
278,40-50,1,M,1,0,1,1,0.0,0,0,228495
278,40-50,0,M,1,0,0,1,0.0,0,0,228495
278,40-50,0,F,1,1,0,0,-0.5,0,0,228495
278,40-50,0,M,0,0,0,0,0.4,0,1,228495
278,40-50,0,M,1,0,0,0,0.1,0,0,228495
278,40-50,0,M,1,1,1,0,-0.7,0,0,228495
278,40-50,0,M,1,0,0,2,0.1,0,0,228495
278,40-50,1,F,1,0,0,0,-0.1,0,0,228495
278,40-50,0,M,0,1,0,1,0.8,1,1,228495
278,40-50,0,F,1,0,0,0,-0.3,0,0,228495
278,40-50,0,M,0,0,1,10,0.6,0,0,228495
278,40-50,0,F,0,0,0,2,0.0,0,0,228495
278,40-50,0,M,0,2,1,0,0.4,0,0,228495
278,40-50,0,M,1,0,1,0,0.6,0,0,228495
278,40-50,1,M,1,0,0,0,-0.1,0,1,228495
278,40-50,0,M,2,0,1,0,-0.6,0,0,228495
278,40-50,0,M,0,1,1,2,0.2,1,0,228495
278,40-50,0,M,1,0,0,1,-0.1,0,0,228495
277,40-50,0,M,0,1,1,1,1.3,0,0,229788
277,40-50,0,M,0,1,0,0,0.8,1,1,229788
277,40-50,0,M,0,2,1,0,-0.2,1,0,229788
277,40-50,0,M,0,1,1,0,0.6,1,0,229788
277,40-50,0,M,0,1,0,0,0.5,1,0,229788
277,40-50,0,M,1,0,1,2,0.3,0,0,229788
277,40-50,0,F,1,0,1,1,-0.5,0,0,229788
277,40-50,0,M,1,1,0,0,-0.5,1,0,229788
277,40-50,0,M,1,0,0,1,0.1,0,0,229788
277,40-50,1,M,1,0,0,0,0.1,0,0,229788
277,40-50,0,M,0,1,0,0,0.6,1,0,229788
277,40-50,1,M,1,1,1,0,-0.1,0,0,229788
276,40-50,1,M,1,0,1,0,1.0,0,0,232534
276,40-50,0,M,1,0,1,0,0.0,0,0,232534
276,40-50,0,M,0,3,0,3,0.0,0,1,232534
276,40-50,1,M,0,1,1,0,0.3,1,0,232534
276,40-50,0,F,0,0,0,1,0.7,0,0,232534
276,40-50,2,M,1,0,1,1,-0.8,0,0,232534
276,40-50,1,M,1,0,1,0,0.6,0,0,232534
276,40-50,0,F,0,3,0,0,0.9,1,0,232534
276,40-50,0,F,1,2,0,0,-0.3,1,0,232534
276,40-50,0,M,1,0,0,0,0.4,0,0,232534
276,40-50,1,M,1,0,0,0,-0.8,0,0,232534
276,40-50,0,M,0,1,1,2,0.6,1,0,232534
276,40-50,0,F,1,1,0,0,-0.1,0,0,232534
276,40-50,0,M,1,0,0,0,0.7,0,0,232534
276,40-50,0,M,2,0,1,2,-0.8,0,0,232534
276,40-50,1,F,0,0,0,2,1.0,0,0,232534
276,40-50,0,M,1,0,1,0,-0.4,0,0,232534
276,40-50,0,M,0,2,1,0,-0.7,2,0,232534
276,40-50,0,M,2,0,1,0,-0.8,0,1,232534
276,40-50,0,M,1,0,0,0,0.3,0,0,232534
276,40-50,0,M,0,0,1,5,0.7,0,0,232534
276,40-50,0,M,1,0,0,1,1.2,0,0,232534
276,40-50,0,F,0,2,0,0,0.2,2,0,232534
276,40-50,0,M,0,1,1,0,2.0,0,0,232534
276,40-50,1,M,1,0,1,0,0.1,0,0,232534
275,40-50,0,M,2,1,0,0,-0.4,0,0,236157
275,40-50,0,M,0,1,1,1,0.0,1,0,236157
275,40-50,0,M,1,0,1,0,0.2,0,0,236157
275,40-50,0,M,1,0,0,0,0.3,0,0,236157
275,40-50,0,M,0,1,0,0,0.6,1,0,236157
275,40-50,0,F,1,0,0,0,0.6,0,0,236157
275,40-50,0,F,0,0,0,0,0.1,0,1,236157
275,40-50,0,F,1,0,0,0,0.1,0,1,236157
275,40-50,0,M,1,0,1,0,-0.3,0,0,236157
275,40-50,0,M,0,1,1,0,1.2,0,0,236157
275,40-50,0,M,1,0,0,0,0.1,0,0,236157
275,40-50,0,M,1,0,1,2,0.1,0,0,236157
275,40-50,1,M,0,1,1,0,0.2,0,0,236157
275,40-50,0,M,0,1,1,1,0.2,1,0,236157
275,40-50,0,M,1,0,0,0,0.1,0,0,236157
275,40-50,0,M,0,1,1,0,0.4,1,0,236157
275,40-50,0,M,1,0,0,0,0.3,0,0,236157
275,40-50,0,M,1,0,0,0,0.1,0,0,236157
275,40-50,0,M,0,2,1,0,-0.1,2,0,236157
275,40-50,0,M,1,1,0,0,-0.1,1,0,236157
275,40-50,0,M,0,1,1,2,-0.1,1,0,236157
275,40-50,0,M,0,2,1,1,0.1,0,1,236157
275,40-50,0,M,1,0,0,0,0.1,0,0,236157
275,40-50,0,M,2,0,0,0,-0.1,0,0,236157
275,40-50,0,M,1,0,1,3,-0.3,0,0,236157
275,40-50,0,F,1,0,0,0,0.3,0,0,236157
275,40-50,0,M,0,1,0,0,0.6,1,0,236157
275,40-50,0,F,1,0,0,0,0.1,0,0,236157
275,40-50,0,F,1,0,0,0,0.1,0,0,236157
275,40-50,0,M,0,0,0,3,1.3,0,1,236157
274,40-50,0,M,1,0,0,0,0.4,0,0,238314
